#"gene","transcript","protein"
"ENSRNOG00000020393.6","ENSRNOT00000027641.6","ENSRNOP00000027641.3"
"ENSRNOG00000020393.6","ENSRNOT00000076499.1","ENSRNOP00000068181.1"
"ENSRNOG00000020393.6","ENSRNOT00000076592.1","ENSRNOP00000068407.1"
"ENSRNOG00000046333.2","ENSRNOT00000054679.4","ENSRNOP00000051565.4"
"ENSRNOG00000046333.2","ENSRNOT00000091038.1","ENSRNOP00000069347.1"
"ENSRNOG00000046333.2","ENSRNOT00000079869.1","ENSRNOP00000073380.1"
"ENSRNOG00000046333.2","ENSRNOT00000086726.1","ENSRNOP00000074407.1"
"ENSRNOG00000046333.2","ENSRNOT00000018693.7","ENSRNOP00000018694.6"
"ENSRNOG00000046333.2","ENSRNOT00000079579.1","ENSRNOP00000070518.1"
"ENSRNOG00000046333.2","ENSRNOT00000078416.1","ENSRNOP00000069687.1"
"ENSRNOG00000061485.1","ENSRNOT00000081397.1",""
"ENSRNOG00000051224.1","ENSRNOT00000077009.1",""
"ENSRNOG00000014582.6","ENSRNOT00000020064.6","ENSRNOP00000020064.4"
"ENSRNOG00000017225.6","ENSRNOT00000023247.6","ENSRNOP00000023247.5"
"ENSRNOG00000062114.1","ENSRNOT00000092962.1",""
"ENSRNOG00000020425.6","ENSRNOT00000027685.5","ENSRNOP00000027685.4"
"ENSRNOG00000020425.6","ENSRNOT00000092882.1","ENSRNOP00000075979.1"
"ENSRNOG00000020425.6","ENSRNOT00000093012.1",""
"ENSRNOG00000020425.6","ENSRNOT00000092987.1","ENSRNOP00000075934.1"
"ENSRNOG00000020425.6","ENSRNOT00000088370.1","ENSRNOP00000073378.1"
"ENSRNOG00000012103.7","ENSRNOT00000076049.1","ENSRNOP00000067986.1"
"ENSRNOG00000012103.7","ENSRNOT00000016215.6","ENSRNOP00000016215.5"
"ENSRNOG00000062232.1","ENSRNOT00000093439.1","ENSRNOP00000076146.1"
"ENSRNOG00000047821.1","ENSRNOT00000071726.1","ENSRNOP00000065596.1"
"ENSRNOG00000023140.7","ENSRNOT00000060412.5","ENSRNOP00000057157.4"
"ENSRNOG00000023140.7","ENSRNOT00000076225.2","ENSRNOP00000067996.1"
"ENSRNOG00000023140.7","ENSRNOT00000075858.2","ENSRNOP00000068221.1"
"ENSRNOG00000023140.7","ENSRNOT00000076338.1","ENSRNOP00000068354.1"
"ENSRNOG00000023140.7","ENSRNOT00000076545.1",""
"ENSRNOG00000045752.2","ENSRNOT00000074058.2","ENSRNOP00000064166.1"
"ENSRNOG00000045752.2","ENSRNOT00000093070.1","ENSRNOP00000075981.1"
"ENSRNOG00000045752.2","ENSRNOT00000093112.1","ENSRNOP00000076052.1"
"ENSRNOG00000012122.6","ENSRNOT00000092830.1","ENSRNOP00000075964.1"
"ENSRNOG00000012122.6","ENSRNOT00000016518.5","ENSRNOP00000016518.3"
"ENSRNOG00000062163.1","ENSRNOT00000092761.1",""
"ENSRNOG00000062105.1","ENSRNOT00000092820.1",""
"ENSRNOG00000062061.1","ENSRNOT00000092378.1",""
"ENSRNOG00000019207.8","ENSRNOT00000026100.5","ENSRNOP00000026100.3"
"ENSRNOG00000019207.8","ENSRNOT00000092327.1","ENSRNOP00000075838.1"
"ENSRNOG00000019207.8","ENSRNOT00000044257.5","ENSRNOP00000039860.3"
"ENSRNOG00000019207.8","ENSRNOT00000092351.1",""
"ENSRNOG00000019207.8","ENSRNOT00000092528.1",""
"ENSRNOG00000062138.1","ENSRNOT00000092807.1",""
"ENSRNOG00000055775.2","ENSRNOT00000083691.2",""
"ENSRNOG00000051318.1","ENSRNOT00000076911.1",""
"ENSRNOG00000018517.7","ENSRNOT00000092890.1","ENSRNOP00000075958.1"
"ENSRNOG00000018517.7","ENSRNOT00000092837.1",""
"ENSRNOG00000018517.7","ENSRNOT00000093046.1","ENSRNOP00000076071.1"
"ENSRNOG00000018517.7","ENSRNOT00000092857.1","ENSRNOP00000075950.1"
"ENSRNOG00000018517.7","ENSRNOT00000024992.6","ENSRNOP00000024992.5"
"ENSRNOG00000012609.9","ENSRNOT00000090388.2","ENSRNOP00000069016.2"
"ENSRNOG00000012609.9","ENSRNOT00000093030.1","ENSRNOP00000075929.1"
"ENSRNOG00000012609.9","ENSRNOT00000092757.1","ENSRNOP00000076056.1"
"ENSRNOG00000012609.9","ENSRNOT00000042072.6","ENSRNOP00000041570.5"
"ENSRNOG00000014965.3","ENSRNOT00000020070.3","ENSRNOP00000020070.2"
"ENSRNOG00000062307.1","ENSRNOT00000093436.1","ENSRNOP00000076240.1"
"ENSRNOG00000047229.3","ENSRNOT00000093078.1","ENSRNOP00000075968.1"
"ENSRNOG00000047229.3","ENSRNOT00000092838.1","ENSRNOP00000076018.1"
"ENSRNOG00000047229.3","ENSRNOT00000092835.1",""
"ENSRNOG00000047229.3","ENSRNOT00000093075.1","ENSRNOP00000075973.1"
"ENSRNOG00000047229.3","ENSRNOT00000075222.2","ENSRNOP00000064311.2"
"ENSRNOG00000029608.5","ENSRNOT00000075427.2","ENSRNOP00000067471.2"
"ENSRNOG00000029608.5","ENSRNOT00000047224.5","ENSRNOP00000047346.5"
"ENSRNOG00000031005.4","ENSRNOT00000046600.4",""
"ENSRNOG00000050846.3","ENSRNOT00000076961.2","ENSRNOP00000068376.1"
"ENSRNOG00000050846.3","ENSRNOT00000075892.2","ENSRNOP00000068020.1"
"ENSRNOG00000050846.3","ENSRNOT00000075597.3","ENSRNOP00000064088.1"
"ENSRNOG00000050846.3","ENSRNOT00000076631.1","ENSRNOP00000068264.1"
"ENSRNOG00000051291.2","ENSRNOT00000076783.2","ENSRNOP00000068262.1"
"ENSRNOG00000051291.2","ENSRNOT00000081667.1","ENSRNOP00000070922.1"
"ENSRNOG00000018426.6","ENSRNOT00000046169.3","ENSRNOP00000040585.2"
"ENSRNOG00000018426.6","ENSRNOT00000091647.1","ENSRNOP00000068542.1"
"ENSRNOG00000013323.6","ENSRNOT00000017831.5","ENSRNOP00000017831.5"
"ENSRNOG00000019883.7","ENSRNOT00000093347.1","ENSRNOP00000076081.1"
"ENSRNOG00000019883.7","ENSRNOT00000093747.1",""
"ENSRNOG00000019883.7","ENSRNOT00000093158.1",""
"ENSRNOG00000019883.7","ENSRNOT00000026966.6","ENSRNOP00000026966.5"
"ENSRNOG00000020595.8","ENSRNOT00000093220.1",""
"ENSRNOG00000020595.8","ENSRNOT00000066328.3","ENSRNOP00000061250.1"
"ENSRNOG00000023387.5","ENSRNOT00000076091.2","ENSRNOP00000068010.1"
"ENSRNOG00000023387.5","ENSRNOT00000028988.2","ENSRNOP00000036045.1"
"ENSRNOG00000023387.5","ENSRNOT00000076399.1","ENSRNOP00000068026.1"
"ENSRNOG00000018766.6","ENSRNOT00000025651.6","ENSRNOP00000025651.3"
"ENSRNOG00000018766.6","ENSRNOT00000076100.1","ENSRNOP00000068089.1"
"ENSRNOG00000054506.2","ENSRNOT00000092044.2","ENSRNOP00000070205.1"
"ENSRNOG00000020618.7","ENSRNOT00000093559.1","ENSRNOP00000076314.1"
"ENSRNOG00000056212.2","ENSRNOT00000093498.1","ENSRNOP00000076117.1"
"ENSRNOG00000056212.2","ENSRNOT00000093443.1",""
"ENSRNOG00000056212.2","ENSRNOT00000093729.1","ENSRNOP00000076296.1"
"ENSRNOG00000056212.2","ENSRNOT00000093606.1",""
"ENSRNOG00000056212.2","ENSRNOT00000082283.1","ENSRNOP00000073852.1"
"ENSRNOG00000049394.3","ENSRNOT00000072206.2","ENSRNOP00000066688.1"
"ENSRNOG00000049394.3","ENSRNOT00000075959.2","ENSRNOP00000068326.1"
"ENSRNOG00000049394.3","ENSRNOT00000076142.1","ENSRNOP00000068404.1"
"ENSRNOG00000062298.1","ENSRNOT00000027976.6","ENSRNOP00000027976.4"
"ENSRNOG00000062298.1","ENSRNOT00000093210.1","ENSRNOP00000076088.1"
"ENSRNOG00000062298.1","ENSRNOT00000093433.1",""
"ENSRNOG00000062298.1","ENSRNOT00000093537.1",""
"ENSRNOG00000062298.1","ENSRNOT00000093428.1",""
"ENSRNOG00000062298.1","ENSRNOT00000093139.1",""
"ENSRNOG00000062298.1","ENSRNOT00000093642.1",""
"ENSRNOG00000062298.1","ENSRNOT00000093589.1",""
"ENSRNOG00000019879.5","ENSRNOT00000026907.5","ENSRNOP00000026907.3"
"ENSRNOG00000013176.8","ENSRNOT00000076925.2","ENSRNOP00000068155.1"
"ENSRNOG00000013176.8","ENSRNOT00000076430.2","ENSRNOP00000068284.1"
"ENSRNOG00000013176.8","ENSRNOT00000076756.1","ENSRNOP00000068069.1"
"ENSRNOG00000013176.8","ENSRNOT00000018532.6","ENSRNOP00000018532.6"
"ENSRNOG00000019489.7","ENSRNOT00000026367.6","ENSRNOP00000026367.4"
"ENSRNOG00000019489.7","ENSRNOT00000092809.1","ENSRNOP00000075976.1"
"ENSRNOG00000019489.7","ENSRNOT00000092953.1","ENSRNOP00000076009.1"
"ENSRNOG00000019489.7","ENSRNOT00000093126.1",""
"ENSRNOG00000019831.5","ENSRNOT00000093716.1","ENSRNOP00000076333.1"
"ENSRNOG00000019831.5","ENSRNOT00000093693.1","ENSRNOP00000076302.1"
"ENSRNOG00000019831.5","ENSRNOT00000026839.4","ENSRNOP00000026839.4"
"ENSRNOG00000024280.6","ENSRNOT00000093108.1","ENSRNOP00000076025.1"
"ENSRNOG00000024280.6","ENSRNOT00000035962.5","ENSRNOP00000036286.5"
"ENSRNOG00000051128.1","ENSRNOT00000076828.1",""
"ENSRNOG00000019746.6","ENSRNOT00000026778.6","ENSRNOP00000026778.5"
"ENSRNOG00000019746.6","ENSRNOT00000093723.1",""
"ENSRNOG00000019746.6","ENSRNOT00000093354.1",""
"ENSRNOG00000019746.6","ENSRNOT00000093191.1",""
"ENSRNOG00000058003.1","ENSRNOT00000092099.1","ENSRNOP00000074092.1"
"ENSRNOG00000058003.1","ENSRNOT00000087612.1",""
"ENSRNOG00000020623.7","ENSRNOT00000093319.1","ENSRNOP00000076100.1"
"ENSRNOG00000020623.7","ENSRNOT00000027992.7","ENSRNOP00000027992.4"
"ENSRNOG00000020623.7","ENSRNOT00000093313.1",""
"ENSRNOG00000020623.7","ENSRNOT00000093496.1",""
"ENSRNOG00000020623.7","ENSRNOT00000093474.1","ENSRNOP00000076272.1"
"ENSRNOG00000020623.7","ENSRNOT00000093583.1",""
"ENSRNOG00000020623.7","ENSRNOT00000093419.1",""
"ENSRNOG00000062034.1","ENSRNOT00000092354.1",""
"ENSRNOG00000061992.1","ENSRNOT00000092696.1",""
"ENSRNOG00000018320.6","ENSRNOT00000092282.1","ENSRNOP00000075906.1"
"ENSRNOG00000018320.6","ENSRNOT00000092513.1","ENSRNOP00000075747.1"
"ENSRNOG00000018320.6","ENSRNOT00000092316.1",""
"ENSRNOG00000018320.6","ENSRNOT00000024678.5","ENSRNOP00000024678.2"
"ENSRNOG00000055166.1","ENSRNOT00000092014.1",""
"ENSRNOG00000057689.1","ENSRNOT00000084857.1",""
"ENSRNOG00000019358.7","ENSRNOT00000082133.1","ENSRNOP00000071981.1"
"ENSRNOG00000019358.7","ENSRNOT00000026350.7","ENSRNOP00000026350.7"
"ENSRNOG00000019358.7","ENSRNOT00000088678.1",""
"ENSRNOG00000019358.7","ENSRNOT00000089984.1","ENSRNOP00000070339.1"
"ENSRNOG00000019358.7","ENSRNOT00000078494.1","ENSRNOP00000071400.1"
"ENSRNOG00000019358.7","ENSRNOT00000088168.1","ENSRNOP00000071034.1"
"ENSRNOG00000019358.7","ENSRNOT00000081017.1","ENSRNOP00000072170.1"
"ENSRNOG00000019702.6","ENSRNOT00000026720.6","ENSRNOP00000026721.4"
"ENSRNOG00000019702.6","ENSRNOT00000093615.1",""
"ENSRNOG00000058388.2","ENSRNOT00000090129.2","ENSRNOP00000073413.1"
"ENSRNOG00000020650.7","ENSRNOT00000028064.5","ENSRNOP00000028064.1"
"ENSRNOG00000020650.7","ENSRNOT00000064184.4","ENSRNOP00000063604.1"
"ENSRNOG00000020650.7","ENSRNOT00000092245.1",""
"ENSRNOG00000017751.8","ENSRNOT00000024648.8","ENSRNOP00000024648.4"
"ENSRNOG00000017751.8","ENSRNOT00000092274.1",""
"ENSRNOG00000017751.8","ENSRNOT00000092366.1",""
"ENSRNOG00000030266.5","ENSRNOT00000093332.1","ENSRNOP00000076211.1"
"ENSRNOG00000030266.5","ENSRNOT00000093265.1",""
"ENSRNOG00000030266.5","ENSRNOT00000093329.1",""
"ENSRNOG00000030266.5","ENSRNOT00000044326.3","ENSRNOP00000040619.3"
"ENSRNOG00000047386.3","ENSRNOT00000092467.1",""
"ENSRNOG00000047386.3","ENSRNOT00000092374.1",""
"ENSRNOG00000047386.3","ENSRNOT00000092681.1",""
"ENSRNOG00000047386.3","ENSRNOT00000092599.1",""
"ENSRNOG00000047386.3","ENSRNOT00000072266.2",""
"ENSRNOG00000047386.3","ENSRNOT00000089399.1",""
"ENSRNOG00000047401.3","ENSRNOT00000073918.3","ENSRNOP00000067481.2"
"ENSRNOG00000016147.6","ENSRNOT00000022383.6","ENSRNOP00000022383.3"
"ENSRNOG00000019578.7","ENSRNOT00000026576.7","ENSRNOP00000026576.5"
"ENSRNOG00000019578.7","ENSRNOT00000093351.1",""
"ENSRNOG00000019578.7","ENSRNOT00000093558.1","ENSRNOP00000076119.1"
"ENSRNOG00000019578.7","ENSRNOT00000093203.1",""
"ENSRNOG00000062283.1","ENSRNOT00000093669.1",""
"ENSRNOG00000021507.7","ENSRNOT00000033811.6","ENSRNOP00000076227.1"
"ENSRNOG00000062246.1","ENSRNOT00000093732.1",""
"ENSRNOG00000060599.1","ENSRNOT00000079348.1","ENSRNOP00000070416.1"
"ENSRNOG00000060599.1","ENSRNOT00000082310.1","ENSRNOP00000069990.1"
"ENSRNOG00000060599.1","ENSRNOT00000077877.1","ENSRNOP00000073384.1"
"ENSRNOG00000060599.1","ENSRNOT00000077594.1","ENSRNOP00000071680.1"
"ENSRNOG00000060599.1","ENSRNOT00000081831.1","ENSRNOP00000071478.1"
"ENSRNOG00000010803.7","ENSRNOT00000093306.1","ENSRNOP00000076124.1"
"ENSRNOG00000010803.7","ENSRNOT00000014573.7","ENSRNOP00000014573.5"
"ENSRNOG00000010803.7","ENSRNOT00000093259.1","ENSRNOP00000076137.1"
"ENSRNOG00000010803.7","ENSRNOT00000083894.1","ENSRNOP00000072389.1"
"ENSRNOG00000062256.1","ENSRNOT00000093398.1",""
"ENSRNOG00000028324.6","ENSRNOT00000030707.6",""
"ENSRNOG00000014898.6","ENSRNOT00000020006.6",""
"ENSRNOG00000062187.1","ENSRNOT00000093423.1",""
"ENSRNOG00000014862.7","ENSRNOT00000093339.1","ENSRNOP00000076184.1"
"ENSRNOG00000014862.7","ENSRNOT00000019971.5","ENSRNOP00000019971.4"
"ENSRNOG00000062215.1","ENSRNOT00000093530.1",""
"ENSRNOG00000062222.1","ENSRNOT00000093283.1",""
"ENSRNOG00000018960.7","ENSRNOT00000084571.1",""
"ENSRNOG00000018960.7","ENSRNOT00000081637.1",""
"ENSRNOG00000018960.7","ENSRNOT00000084712.1",""
"ENSRNOG00000018960.7","ENSRNOT00000025795.5",""
"ENSRNOG00000018960.7","ENSRNOT00000090638.1",""
"ENSRNOG00000018960.7","ENSRNOT00000047472.5",""
"ENSRNOG00000062179.1","ENSRNOT00000093340.1",""
"ENSRNOG00000062225.1","ENSRNOT00000093626.1",""
"ENSRNOG00000032034.7","ENSRNOT00000093740.1","ENSRNOP00000076244.1"
"ENSRNOG00000032034.7","ENSRNOT00000093383.1",""
"ENSRNOG00000032034.7","ENSRNOT00000093345.1",""
"ENSRNOG00000032034.7","ENSRNOT00000093384.1","ENSRNOP00000076183.1"
"ENSRNOG00000032034.7","ENSRNOT00000048905.6","ENSRNOP00000049521.4"
"ENSRNOG00000017136.6","ENSRNOT00000092243.1","ENSRNOP00000075790.1"
"ENSRNOG00000017136.6","ENSRNOT00000092435.1","ENSRNOP00000075827.1"
"ENSRNOG00000017136.6","ENSRNOT00000092246.1","ENSRNOP00000075898.1"
"ENSRNOG00000017136.6","ENSRNOT00000078825.1","ENSRNOP00000075000.1"
"ENSRNOG00000017136.6","ENSRNOT00000023090.4","ENSRNOP00000023090.4"
"ENSRNOG00000036762.4","ENSRNOT00000055106.4",""
"ENSRNOG00000017012.5","ENSRNOT00000022988.5","ENSRNOP00000022988.5"
"ENSRNOG00000017012.5","ENSRNOT00000092657.1","ENSRNOP00000075851.1"
"ENSRNOG00000017012.5","ENSRNOT00000092454.1",""
"ENSRNOG00000017012.5","ENSRNOT00000092324.1",""
"ENSRNOG00000016679.7","ENSRNOT00000022800.5","ENSRNOP00000022800.3"
"ENSRNOG00000062071.1","ENSRNOT00000092289.1",""
"ENSRNOG00000062249.1","ENSRNOT00000093421.1",""
"ENSRNOG00000047988.2","ENSRNOT00000073652.2","ENSRNOP00000066485.1"
"ENSRNOG00000013877.8","ENSRNOT00000076227.2","ENSRNOP00000067936.1"
"ENSRNOG00000013877.8","ENSRNOT00000018639.6","ENSRNOP00000018639.6"
"ENSRNOG00000013877.8","ENSRNOT00000078707.1","ENSRNOP00000073911.1"
"ENSRNOG00000013877.8","ENSRNOT00000073355.2","ENSRNOP00000066210.2"
"ENSRNOG00000036711.4","ENSRNOT00000055013.4","ENSRNOP00000051894.4"
"ENSRNOG00000020560.8","ENSRNOT00000093674.1","ENSRNOP00000076237.1"
"ENSRNOG00000020560.8","ENSRNOT00000093269.1","ENSRNOP00000076299.1"
"ENSRNOG00000020560.8","ENSRNOT00000093289.1","ENSRNOP00000076172.1"
"ENSRNOG00000020560.8","ENSRNOT00000093490.1","ENSRNOP00000076163.1"
"ENSRNOG00000020560.8","ENSRNOT00000093308.1","ENSRNOP00000076279.1"
"ENSRNOG00000020560.8","ENSRNOT00000054910.3","ENSRNOP00000051793.3"
"ENSRNOG00000022900.7","ENSRNOT00000031258.6","ENSRNOP00000029888.4"
"ENSRNOG00000027542.6","ENSRNOT00000038122.6","ENSRNOP00000031960.6"
"ENSRNOG00000027542.6","ENSRNOT00000073836.2","ENSRNOP00000065518.1"
"ENSRNOG00000027542.6","ENSRNOT00000091863.1","ENSRNOP00000074153.1"
"ENSRNOG00000018858.7","ENSRNOT00000025616.7","ENSRNOP00000025616.5"
"ENSRNOG00000053113.1","ENSRNOT00000083589.1",""
"ENSRNOG00000037638.4","ENSRNOT00000057096.4","ENSRNOP00000053926.2"
"ENSRNOG00000037638.4","ENSRNOT00000093657.1",""
"ENSRNOG00000037638.4","ENSRNOT00000093205.1",""
"ENSRNOG00000020245.6","ENSRNOT00000027454.5","ENSRNOP00000027454.4"
"ENSRNOG00000014030.7","ENSRNOT00000076511.2","ENSRNOP00000068384.1"
"ENSRNOG00000014030.7","ENSRNOT00000076329.1","ENSRNOP00000068488.1"
"ENSRNOG00000014030.7","ENSRNOT00000077020.1","ENSRNOP00000068230.1"
"ENSRNOG00000014030.7","ENSRNOT00000050832.4","ENSRNOP00000046923.3"
"ENSRNOG00000051108.1","ENSRNOT00000077007.1",""
"ENSRNOG00000020276.7","ENSRNOT00000076187.2","ENSRNOP00000068190.1"
"ENSRNOG00000020276.7","ENSRNOT00000076535.1",""
"ENSRNOG00000020276.7","ENSRNOT00000076140.2","ENSRNOP00000068152.1"
"ENSRNOG00000020276.7","ENSRNOT00000076734.1",""
"ENSRNOG00000020276.7","ENSRNOT00000078903.1","ENSRNOP00000071521.1"
"ENSRNOG00000020276.7","ENSRNOT00000087781.1","ENSRNOP00000072812.1"
"ENSRNOG00000020276.7","ENSRNOT00000027487.7","ENSRNOP00000027487.6"
"ENSRNOG00000009932.8","ENSRNOT00000077049.1","ENSRNOP00000068515.1"
"ENSRNOG00000009932.8","ENSRNOT00000076444.1",""
"ENSRNOG00000009932.8","ENSRNOT00000046645.5","ENSRNOP00000042098.4"
"ENSRNOG00000018808.7","ENSRNOT00000092791.1","ENSRNOP00000076054.1"
"ENSRNOG00000018808.7","ENSRNOT00000092879.1","ENSRNOP00000076039.1"
"ENSRNOG00000018808.7","ENSRNOT00000093104.1","ENSRNOP00000075997.1"
"ENSRNOG00000018808.7","ENSRNOT00000025477.6","ENSRNOP00000025477.6"
"ENSRNOG00000051253.1","ENSRNOT00000075872.1",""
"ENSRNOG00000020332.8","ENSRNOT00000040598.5","ENSRNOP00000049386.2"
"ENSRNOG00000020332.8","ENSRNOT00000066135.3","ENSRNOP00000062653.2"
"ENSRNOG00000020332.8","ENSRNOT00000051425.5","ENSRNOP00000050785.3"
"ENSRNOG00000020332.8","ENSRNOT00000080339.1","ENSRNOP00000075571.1"
"ENSRNOG00000020332.8","ENSRNOT00000066896.4","ENSRNOP00000059829.1"
"ENSRNOG00000020332.8","ENSRNOT00000063918.4","ENSRNOP00000062891.3"
"ENSRNOG00000024077.6","ENSRNOT00000029416.6","ENSRNOP00000034853.4"
"ENSRNOG00000051335.1","ENSRNOT00000076599.1",""
"ENSRNOG00000051332.1","ENSRNOT00000076660.1",""
"ENSRNOG00000012874.7","ENSRNOT00000068766.2","ENSRNOP00000061067.1"
"ENSRNOG00000012874.7","ENSRNOT00000076446.1",""
"ENSRNOG00000019338.5","ENSRNOT00000026182.4","ENSRNOP00000026182.3"
"ENSRNOG00000019338.5","ENSRNOT00000076170.1",""
"ENSRNOG00000020532.8","ENSRNOT00000027875.7","ENSRNOP00000027875.6"
"ENSRNOG00000020532.8","ENSRNOT00000076526.1",""
"ENSRNOG00000020532.8","ENSRNOT00000076661.1",""
"ENSRNOG00000020532.8","ENSRNOT00000075927.1","ENSRNOP00000068229.1"
"ENSRNOG00000020532.8","ENSRNOT00000087153.1","ENSRNOP00000074437.1"
"ENSRNOG00000012716.8","ENSRNOT00000076300.2","ENSRNOP00000068303.1"
"ENSRNOG00000012716.8","ENSRNOT00000090149.1","ENSRNOP00000075309.1"
"ENSRNOG00000012716.8","ENSRNOT00000055829.3","ENSRNOP00000052684.2"
"ENSRNOG00000051208.2","ENSRNOT00000076809.2","ENSRNOP00000068219.1"
"ENSRNOG00000051208.2","ENSRNOT00000076258.1","ENSRNOP00000068466.1"
"ENSRNOG00000051208.2","ENSRNOT00000087175.1","ENSRNOP00000070306.1"
