"target.row"	"dist.to.feature"	"feature.name"	"feature.strand"	"qvalue"	"pvalue"
"1258"	23	280411	"ENSRNOT00000084273.1"	"+"	1.09843757915244e-105	9.56593353714554e-110
"430"	24	-9649	"ENSRNOT00000083769.1"	"+"	3.04529131999529e-105	2.76735087423059e-109
"269"	25	9347	"ENSRNOT00000090489.1"	"+"	8.22808926797878e-105	7.78866714364117e-109
"14241"	26	-15121	"ENSRNOT00000079308.1"	"+"	1.23144253168808e-104	1.21230427872172e-108
"77"	27	-22527	"ENSRNOT00000009874.2"	"+"	1.649457370862e-104	1.68627732778834e-108
"865"	28	-65259	"ENSRNOT00000050751.3"	"+"	2.37958696451924e-104	2.52280540799304e-108
"54"	29	-11917	"ENSRNOT00000003768.2"	"-"	1.31761096798404e-103	1.44680279800525e-107
"148"	30	73980	"ENSRNOT00000032739.5"	"+"	1.52175872482255e-103	1.72858681444319e-107
"137"	31	-106945	"ENSRNOT00000011393.2"	"-"	3.52968126321745e-103	4.14306096687319e-107
"33"	32	40858	"ENSRNOT00000007947.7"	"+"	3.94336418914412e-103	4.77794347165204e-107
"692"	33	-11403	"ENSRNOT00000083531.1"	"-"	2.44285005883415e-102	3.05235394135188e-106
"1959"	34	-18250	"ENSRNOT00000071745.1"	"-"	1.45064025112786e-101	1.867509335738e-105
"302"	35	-95170	"ENSRNOT00000088693.1"	"+"	2.1536592154366e-101	2.85409989038539e-105
"1206"	36	-21045	"ENSRNOT00000069705.1"	"-"	4.8867848353258e-101	6.6611599015607e-105
"1732"	37	-25816	"ENSRNOT00000072374.2"	"-"	5.21621924840634e-101	7.30771669379631e-105
"864"	38	10064	"ENSRNOT00000086875.1"	"-"	2.89252045591189e-100	4.16182846604723e-104
"3383"	39	-19115	"ENSRNOT00000042936.1"	"-"	3.07156698730159e-100	4.53574613341673e-104
"1742"	40	-5873	"ENSRNOT00000077411.1"	"-"	4.06441092014327e-100	6.15576088415532e-104
"3141"	41	23262	"ENSRNOT00000079209.1"	"+"	8.97494741753683e-100	1.39328483559146e-103
"8641"	42	-225	"ENSRNOT00000006436.5"	"+"	2.55164283294739e-99	4.05782501388446e-103
"2796"	43	25550	"ENSRNOT00000089714.1"	"-"	3.07684983580164e-99	5.00955209884471e-103
"557"	44	5772	"ENSRNOT00000073333.2"	"-"	3.65969246883826e-99	6.09707320676378e-103
"9381"	45	-44215	"ENSRNOT00000063358.3"	"+"	7.14624404239368e-97	1.21762763928776e-100
"269.1"	46	9334	"ENSRNOT00000090489.1"	"+"	1.06902496168316e-96	1.90243507677181e-100
"9651"	47	-43019	"ENSRNOT00000015281.4"	"+"	1.06902496168316e-96	1.89082299098777e-100
"4064.1"	48	5000	"ENSRNOT00000085159.1"	"+"	1.58268621133399e-96	2.87647230451148e-100
"160"	49	45956	"ENSRNOT00000091080.1"	"-"	2.43199029244452e-96	4.5121347185599e-100
"1774"	50	9836	"ENSRNOT00000093486.1"	"-"	3.67662010741012e-96	6.96053951229677e-100
"59"	51	40790	"ENSRNOT00000083484.1"	"+"	3.68778448899081e-96	7.12130932120375e-100
"1982"	52	9394	"ENSRNOT00000028095.5"	"+"	6.63672059408073e-96	1.30671542777646e-99
"2091"	53	95318	"ENSRNOT00000025488.6"	"-"	1.41070728177199e-95	2.830980764258e-99
"5091"	54	-30746	"ENSRNOT00000088359.1"	"+"	2.5857510618271e-94	5.28694280663343e-98
"2231"	55	-4652	"ENSRNOT00000083126.1"	"+"	5.01431171486934e-94	1.04423479115434e-97
"2052"	56	3146	"ENSRNOT00000020069.6"	"+"	1.11480927546476e-93	2.36381095623586e-97
"12901"	57	13559	"ENSRNOT00000077627.1"	"+"	2.03967878749777e-93	4.40210883662951e-97
"17421"	58	-8598	"ENSRNOT00000077123.1"	"-"	8.34435137781753e-93	1.83250310058312e-96
"175"	59	10956	"ENSRNOT00000006610.6"	"+"	2.76785981824462e-92	6.18329893721179e-96
"4441"	60	-12708	"ENSRNOT00000002983.7"	"+"	5.80663363398976e-92	1.31916711529779e-95
"261"	61	15982	"ENSRNOT00000090860.1"	"-"	1.43578288932936e-91	3.31621553305971e-95
"2711"	62	-83837	"ENSRNOT00000029031.7"	"+"	1.57299381816142e-91	3.69268996442861e-95
"1917"	63	27903	"ENSRNOT00000084352.1"	"+"	1.65945956720596e-91	3.95850652825891e-95
"1921"	64	8309	"ENSRNOT00000024673.7"	"+"	4.34464535405748e-91	1.05283047217446e-94
"2107"	65	25533	"ENSRNOT00000010183.5"	"+"	7.1726721657654e-91	1.76529982777712e-94
"266"	66	66796	"ENSRNOT00000078301.1"	"-"	9.32625320481466e-91	2.36595317791925e-94
"62"	67	105785	"ENSRNOT00000048457.5"	"+"	9.32625320481466e-91	2.35290458437672e-94
"876"	68	-13100	"ENSRNOT00000083786.1"	"+"	1.06461777149708e-90	2.74111189968371e-94
"1273"	69	-241236	"ENSRNOT00000083716.1"	"+"	2.65676313329499e-90	6.94106430061731e-94
"1044"	70	-11654	"ENSRNOT00000051137.2"	"+"	2.10528702169915e-89	5.57999094266473e-93
"2325"	71	35106	"ENSRNOT00000026662.3"	"+"	4.70887663565698e-89	1.2659011731249e-92
"1059"	72	46255	"ENSRNOT00000021629.6"	"+"	6.67572757443287e-89	1.81993234124418e-92
"131"	73	-126201	"ENSRNOT00000023172.7"	"-"	2.08073793510793e-88	5.75127833604034e-92
"822"	74	-85635	"ENSRNOT00000070509.1"	"+"	3.49994970386246e-88	9.80658199372173e-92
"1276"	75	279175	"ENSRNOT00000011571.8"	"-"	1.59578385629309e-87	4.53168246663281e-91
"314"	76	-17038	"ENSRNOT00000001205.7"	"-"	2.09248475462038e-87	6.02143545692126e-91
"640"	77	-207469	"ENSRNOT00000039652.6"	"-"	2.53355474424742e-87	7.38660981515932e-91
"14871"	78	-4782	"ENSRNOT00000060168.2"	"+"	3.08595607470948e-87	9.11398865245263e-91
"4471"	79	-212441	"ENSRNOT00000087457.1"	"-"	4.28305993496209e-87	1.28116593836251e-90
"12161"	80	-66502	"ENSRNOT00000032342.4"	"+"	4.60537500165875e-87	1.39501580175257e-90
"9"	81	-145436	"ENSRNOT00000076695.2"	"+"	1.07963425865454e-86	3.31120307472022e-90
"16851"	82	16481	"ENSRNOT00000019902.5"	"+"	1.28061281615964e-86	3.9760866198122e-90
"1625"	83	10583	"ENSRNOT00000011090.5"	"+"	3.52124283560868e-86	1.10661922168164e-89
"682"	84	4893	"ENSRNOT00000091067.1"	"+"	3.55031287628317e-86	1.12919788071256e-89
"1787"	85	6983	"ENSRNOT00000019266.2"	"-"	7.59850794358143e-86	2.44552095381416e-89
"1187"	86	39840	"ENSRNOT00000009260.5"	"-"	1.90173689184255e-85	6.19259992940028e-89
"1970"	87	17279	"ENSRNOT00000074238.1"	"-"	2.96073799783404e-85	9.7531155785248e-89
"1182"	88	47451	"ENSRNOT00000006426.5"	"+"	3.7546487338129e-85	1.25105420144809e-88
"622"	89	99339	"ENSRNOT00000015447.8"	"-"	9.75894311557113e-85	3.2886445366157e-88
"59.1"	90	16497	"ENSRNOT00000083484.1"	"+"	1.64922271588467e-84	5.62012478244379e-88
"986"	91	148829	"ENSRNOT00000008329.7"	"+"	1.75467304726838e-84	6.04591083934545e-88
"295"	92	-13649	"ENSRNOT00000055664.3"	"-"	9.08385162519889e-84	3.16433168555624e-87
"10421"	93	5421	"ENSRNOT00000021819.3"	"+"	2.31577915177261e-83	8.15462940939494e-87
"1610"	94	-10276	"ENSRNOT00000021048.7"	"-"	6.96481092459905e-83	2.47891323045978e-86
"566"	95	47145	"ENSRNOT00000039237.4"	"-"	1.72032421775036e-82	6.1881103430319e-86
"40"	96	-43034	"ENSRNOT00000082611.1"	"-"	2.23113989085552e-82	8.11002466259857e-86
"191"	97	-11156	"ENSRNOT00000081797.1"	"+"	2.67882073045036e-82	9.83874095557848e-86
"7201"	98	8379	"ENSRNOT00000090379.1"	"+"	2.84624246585067e-82	1.05614150578665e-85
"5431"	99	12223	"ENSRNOT00000020672.7"	"+"	1.2555646288778e-81	4.70650373695819e-85
"702"	100	-25722	"ENSRNOT00000083091.1"	"+"	3.72698028094831e-81	1.41117617535773e-84
"6461"	101	1116	"ENSRNOT00000012203.5"	"-"	9.45001496057636e-81	3.61391564041324e-84
"1782"	102	-83388	"ENSRNOT00000006071.5"	"+"	1.62541780428691e-80	6.27753763544167e-84
"268"	103	184554	"ENSRNOT00000090829.1"	"-"	2.42681659790751e-80	9.46451408908485e-84
"442"	104	-78265	"ENSRNOT00000043474.3"	"-"	3.50945300616844e-80	1.38196457759782e-83
"1685.1"	105	17253	"ENSRNOT00000019902.5"	"+"	4.19549514236311e-80	1.66800236640552e-83
"541"	106	38855	"ENSRNOT00000002867.4"	"+"	4.63407245445661e-80	1.85991383871866e-83
"311"	107	320	"ENSRNOT00000063053.1"	"+"	7.53779935158962e-80	3.05388368109784e-83
"674"	108	-249597	"ENSRNOT00000079205.1"	"+"	7.66999549564365e-80	3.13648348530122e-83
"588"	109	-2354	"ENSRNOT00000036966.4"	"+"	8.76544014311828e-80	3.6176318377908e-83
"163"	110	-45747	"ENSRNOT00000077321.1"	"+"	1.50829665006588e-79	6.28208187660062e-83
"360"	111	68310	"ENSRNOT00000019406.3"	"-"	1.60142204280179e-79	6.73058667898487e-83
"2015"	112	216314	"ENSRNOT00000035567.6"	"+"	2.34393343590362e-79	9.94002410711316e-83
"3221"	113	-4952	"ENSRNOT00000016252.6"	"+"	2.54559046179356e-79	1.0891585856245e-82
"39"	114	2227	"ENSRNOT00000025460.7"	"+"	3.39088528725823e-79	1.46366635555872e-82
"2167"	115	13929	"ENSRNOT00000078579.1"	"+"	5.82087850976425e-79	2.53460633580873e-82
"2821"	116	28878	"ENSRNOT00000013249.6"	"+"	6.84368957825764e-79	3.00588549157325e-82
"359"	117	243127	"ENSRNOT00000013271.6"	"-"	8.82654424612691e-79	3.9102156099457e-82
"651"	118	-110323	"ENSRNOT00000052316.2"	"+"	1.85672447536303e-78	8.29571093126268e-82
"429"	119	2440	"ENSRNOT00000090859.1"	"-"	4.91083549391893e-78	2.21272013747919e-81
"904"	120	36037	"ENSRNOT00000092736.1"	"-"	5.4545691482298e-78	2.47836826017163e-81
"2992"	121	48196	"ENSRNOT00000025745.3"	"+"	7.96523238431905e-78	3.64928651154156e-81
"373"	122	15667	"ENSRNOT00000077333.1"	"+"	1.34921586670294e-77	6.23254483371199e-81
"1099"	123	46025	"ENSRNOT00000023588.5"	"-"	2.34912550594283e-77	1.09404572263095e-80
"59.2"	124	33757	"ENSRNOT00000083484.1"	"+"	3.64682564110369e-77	1.71222496763081e-80
"839"	125	-6263	"ENSRNOT00000089205.1"	"-"	1.26103981934341e-76	5.9684691596424e-80
"142"	126	30284	"ENSRNOT00000001277.3"	"+"	1.99875122232689e-76	9.53571863792748e-80
"2780"	127	-12331	"ENSRNOT00000090077.1"	"-"	2.92235285057901e-76	1.40527239158056e-79
"6401"	128	-30770	"ENSRNOT00000083280.1"	"-"	8.6262035643853e-76	4.18074628958294e-79
"2072"	129	4234	"ENSRNOT00000022847.5"	"+"	1.39818048092549e-75	6.82931407436635e-79
"1044.1"	130	-8030	"ENSRNOT00000051137.2"	"+"	1.67722277649091e-75	8.25578253141119e-79
"283"	131	-9950	"ENSRNOT00000090524.1"	"-"	1.96155808507604e-75	9.72963636542571e-79
"373.1"	132	15644	"ENSRNOT00000077333.1"	"+"	3.14055821820321e-75	1.56965757611052e-78
"874"	133	814	"ENSRNOT00000046523.4"	"+"	1.27264915928568e-74	6.40891448374476e-78
"973"	134	23820	"ENSRNOT00000088574.1"	"-"	3.23042552437375e-74	1.63903667798293e-77
"915.1"	135	-83099	"ENSRNOT00000003932.7"	"-"	4.29250219785488e-74	2.19416071721258e-77
"1552"	136	435	"ENSRNOT00000093622.1"	"+"	5.17487106857648e-74	2.66478750311616e-77
"3542"	137	14392	"ENSRNOT00000089770.1"	"-"	9.19248638197659e-74	4.76845515979109e-77
"1276.1"	138	187255	"ENSRNOT00000011571.8"	"-"	9.77475124327287e-74	5.10750665362855e-77
"4411"	139	146920	"ENSRNOT00000086333.1"	"-"	1.70585253363799e-73	8.97801705140262e-77
"447"	140	-11973	"ENSRNOT00000026643.7"	"+"	4.42835518925196e-73	2.34744066649735e-76
"205"	141	12159	"ENSRNOT00000076986.1"	"-"	6.95789121959623e-73	3.71467555697141e-76
"808"	142	-33221	"ENSRNOT00000070630.1"	"+"	7.03241985448998e-73	3.78109227848295e-76
"463"	143	-52349	"ENSRNOT00000003207.6"	"+"	1.00957181061099e-72	5.46634947878183e-76
"1309"	144	-10223	"ENSRNOT00000037206.4"	"-"	1.20146313598886e-72	6.55084136858162e-76
"501"	145	-75589	"ENSRNOT00000086166.1"	"+"	1.75269418992635e-72	9.62272977247904e-76
"4122"	146	54653	"ENSRNOT00000091958.1"	"-"	5.95926705966886e-72	3.29435081282109e-75
"350"	147	-55057	"ENSRNOT00000075162.1"	"+"	1.17427247123584e-71	6.53597459205304e-75
"1748"	148	-5288	"ENSRNOT00000081458.1"	"-"	1.80773945776815e-71	1.01302856988633e-74
"1065"	149	-60533	"ENSRNOT00000011925.4"	"+"	2.50083401141804e-71	1.41089689051529e-74
"13091"	150	-38587	"ENSRNOT00000038537.5"	"-"	3.84358235223254e-71	2.18298921698985e-74
"741"	151	12641	"ENSRNOT00000001957.7"	"-"	1.01415806783341e-70	5.79838085846773e-74
"2595"	152	5576	"ENSRNOT00000017468.2"	"+"	1.19042284775928e-70	6.851236864115e-74
"401"	153	1362	"ENSRNOT00000026106.5"	"+"	1.55875112212294e-70	9.03009565381237e-74
"9681"	154	30586	"ENSRNOT00000080290.1"	"-"	2.21381591973924e-70	1.2908814730632e-73
"731"	155	48310	"ENSRNOT00000052895.1"	"-"	2.33525045814063e-70	1.37053239364961e-73
"771"	156	5928	"ENSRNOT00000085856.1"	"-"	2.50615663016045e-70	1.48032457595506e-73
"1452"	157	9412	"ENSRNOT00000022476.4"	"+"	9.2015182377514e-70	5.46994909191223e-73
"1229"	158	-285940	"ENSRNOT00000072162.2"	"-"	1.56288419413284e-69	9.34992283803214e-73
"2107.1"	159	6939	"ENSRNOT00000010183.5"	"+"	2.01458852620605e-69	1.21285147654877e-72
"3494"	160	18153	"ENSRNOT00000019690.5"	"-"	2.80821251046982e-69	1.70127332752431e-72
"18"	161	108692	"ENSRNOT00000061858.4"	"+"	6.75515967403442e-69	4.11799330164356e-72
"2093"	162	17461	"ENSRNOT00000069866.1"	"-"	9.95554290655327e-69	6.10666510782448e-72
"953"	163	5474	"ENSRNOT00000076576.1"	"-"	1.48947498283129e-68	9.19273960503956e-72
"2226"	164	2347	"ENSRNOT00000082470.1"	"-"	2.22188194888061e-68	1.37971367711896e-71
"183"	165	-16663	"ENSRNOT00000091910.1"	"+"	3.52974398089981e-68	2.20521679443652e-71
"2949"	166	-4641	"ENSRNOT00000016281.7"	"-"	5.73977617049165e-68	3.60767316254594e-71
"402"	167	-4336	"ENSRNOT00000010238.4"	"-"	8.5998161911709e-68	5.4378820189629e-71
"918"	168	-249133	"ENSRNOT00000046847.4"	"+"	1.36990045560483e-67	8.7140978564998e-71
"6.1"	169	105786	"ENSRNOT00000048457.5"	"+"	1.3793368294663e-67	8.82635066708573e-71
"778"	170	40708	"ENSRNOT00000054794.3"	"-"	2.85451868515859e-67	1.83740947813475e-70
"2102"	171	-6885	"ENSRNOT00000021064.2"	"-"	3.04055552201242e-67	1.96867120652862e-70
"315"	172	2763	"ENSRNOT00000078541.1"	"-"	4.1319905560762e-67	2.69098890972753e-70
"4979"	173	14581	"ENSRNOT00000027526.3"	"-"	7.33649977476888e-67	4.80572762348069e-70
"2753"	174	40432	"ENSRNOT00000072899.2"	"-"	1.60596278144782e-66	1.05805651386433e-69
"1308"	175	-16766	"ENSRNOT00000081103.1"	"-"	2.85570920117299e-66	1.89223978882566e-69
"2269"	176	-10413	"ENSRNOT00000020566.6"	"+"	3.51330554487685e-66	2.34127662772093e-69
"379"	177	13080	"ENSRNOT00000071388.2"	"-"	4.37849952216786e-66	2.9344229715188e-69
"447.1"	178	-11974	"ENSRNOT00000026643.7"	"+"	7.92015533908072e-66	5.33799106656462e-69
"392"	179	-6050	"ENSRNOT00000074423.3"	"-"	2.29907974113361e-65	1.55822872603088e-68
"1309.1"	180	7011	"ENSRNOT00000038537.5"	"-"	4.82179397978715e-65	3.28628554295696e-68
"2107.2"	181	-25914	"ENSRNOT00000010183.5"	"+"	2.52023056166062e-64	1.72720143200095e-67
"145.11"	182	-4945	"ENSRNOT00000022476.4"	"+"	7.95336844889283e-64	5.48083377576545e-67
"777"	183	3319	"ENSRNOT00000001160.6"	"+"	1.10932410024338e-63	7.68658932997086e-67
"7"	184	38790	"ENSRNOT00000008160.7"	"+"	1.56583984712213e-63	1.09091095874138e-66
"139"	185	43574	"ENSRNOT00000080760.1"	"+"	2.14339304254906e-63	1.50140440542142e-66
"2008"	186	2363	"ENSRNOT00000012853.6"	"+"	4.63764911361262e-63	3.26614131778256e-66
"2297"	187	9163	"ENSRNOT00000031623.3"	"+"	8.05868837518864e-63	5.70597821859822e-66
"379.1"	188	13079	"ENSRNOT00000071388.2"	"-"	8.99224896788579e-63	6.40103663384477e-66
"368"	189	97476	"ENSRNOT00000090847.1"	"+"	9.38383599165254e-63	6.71531444944037e-66
"1308.1"	190	12799	"ENSRNOT00000081103.1"	"-"	1.15019283275534e-62	8.27462648193364e-66
"1402"	191	19145	"ENSRNOT00000036853.2"	"-"	2.87421127216717e-62	2.07862523924121e-65
"3413"	192	10927	"ENSRNOT00000051962.1"	"-"	5.47784241479352e-62	3.98230852882731e-65
"19241"	193	-8787	"ENSRNOT00000027385.8"	"+"	5.91814922659546e-62	4.32481327593996e-65
"3789"	194	-2569	"ENSRNOT00000024404.6"	"+"	1.22884610912079e-61	9.02658278284819e-65
"131.1"	195	-146226	"ENSRNOT00000023172.7"	"-"	2.96377700486277e-61	2.18828697952727e-64
"31"	196	-233938	"ENSRNOT00000066534.2"	"-"	3.20674543342654e-61	2.37982321700856e-64
"1750"	197	125896	"ENSRNOT00000073232.2"	"+"	5.4486474103062e-61	4.06423743686746e-64
"388"	198	16884	"ENSRNOT00000037874.5"	"+"	6.41158183141257e-61	4.80678304490426e-64
"140"	199	78888	"ENSRNOT00000032204.5"	"-"	6.44814693105574e-61	4.85861114638718e-64
"9652"	200	8754	"ENSRNOT00000074517.3"	"-"	6.63031578405986e-61	5.02097836009094e-64
"3077"	201	197550	"ENSRNOT00000079345.1"	"-"	8.35594788852618e-61	6.35939675683908e-64
"440"	202	198454	"ENSRNOT00000022049.6"	"+"	1.6608839251204e-60	1.27032484476352e-63
"1482"	203	43323	"ENSRNOT00000057078.4"	"+"	1.68027970871674e-60	1.29152186051217e-63
"565"	204	-70468	"ENSRNOT00000031235.3"	"+"	1.79905364797603e-60	1.38962757188485e-63
"266.1"	205	66795	"ENSRNOT00000078301.1"	"-"	1.85293816060712e-60	1.43826505067769e-63
"1928"	206	14280	"ENSRNOT00000016776.2"	"-"	2.47171433235468e-60	1.9279227892981e-63
"1904"	207	5751	"ENSRNOT00000090660.1"	"-"	4.08772536876346e-60	3.20387966909145e-63
"543.1"	208	12222	"ENSRNOT00000020672.7"	"+"	4.11337331852162e-60	3.2395568258879e-63
"1950"	209	-6143	"ENSRNOT00000031353.5"	"+"	4.96627604507469e-60	3.93007901977598e-63
"982"	210	-65296	"ENSRNOT00000020946.4"	"+"	5.52013870416395e-60	4.38928141208429e-63
"731.1"	211	-34379	"ENSRNOT00000052895.1"	"-"	5.86282396753459e-60	4.68396294480083e-63
"299"	212	-26679	"ENSRNOT00000042410.5"	"+"	7.30226618481531e-60	5.86162001765157e-63
"13881"	213	35319	"ENSRNOT00000084939.1"	"-"	1.06712455682121e-59	8.60634711549548e-63
"2674"	214	-30922	"ENSRNOT00000090184.1"	"+"	1.65629881110904e-59	1.34207443693788e-62
"2156"	215	83076	"ENSRNOT00000091640.1"	"-"	1.66382095751791e-59	1.35446937852657e-62
"193"	216	107447	"ENSRNOT00000002356.5"	"+"	2.14374673402961e-59	1.75328035897055e-62
"1741"	217	21980	"ENSRNOT00000004030.6"	"-"	2.88388634840839e-59	2.36952893204545e-62
"5088"	218	10767	"ENSRNOT00000011983.2"	"+"	3.20768762232847e-59	2.6477239428378e-62
"2071"	219	-36850	"ENSRNOT00000081198.1"	"+"	6.16744629314322e-59	5.11415200193489e-62
"1276.2"	220	12917	"ENSRNOT00000011571.8"	"-"	9.2125147053719e-59	7.6740569126114e-62
"15261"	221	-130852	"ENSRNOT00000046322.1"	"-"	5.41568410711209e-58	4.53178960395218e-61
"2880"	222	-14009	"ENSRNOT00000089971.1"	"-"	7.40444039090415e-58	6.223996738944e-61
"2790"	223	1373	"ENSRNOT00000080020.1"	"+"	2.08543973804511e-57	1.76086738140082e-60
"1705"	224	-32398	"ENSRNOT00000050949.3"	"+"	5.00782312258275e-57	4.24738021994563e-60
"1056"	225	46741	"ENSRNOT00000080357.1"	"-"	9.84104426386297e-57	8.3839338707499e-60
"1495"	226	58519	"ENSRNOT00000071513.1"	"-"	1.48879480239527e-56	1.27399412089205e-59
"8901"	227	46784	"ENSRNOT00000087264.1"	"+"	3.5658902965704e-56	3.0649117639647e-59
"1742.1"	228	-5874	"ENSRNOT00000077411.1"	"-"	4.27499470438581e-56	3.6905795324386e-59
"679"	229	2250	"ENSRNOT00000088178.1"	"-"	7.85003939259424e-56	6.80661927481746e-59
"3.1"	230	-233961	"ENSRNOT00000066534.2"	"-"	9.60922362617853e-56	8.36835850267605e-59
"1922"	231	-15689	"ENSRNOT00000074558.1"	"-"	1.07949993266822e-55	9.44188573333491e-59
"590"	232	-17156	"ENSRNOT00000082777.1"	"+"	1.34676645399886e-55	1.18305358485982e-58
"1424"	233	11549	"ENSRNOT00000065275.1"	"+"	2.1832699822634e-55	1.9261384708385e-58
"4064.2"	234	4855	"ENSRNOT00000085159.1"	"+"	2.92970227303056e-55	2.59575372672591e-58
"551"	235	-11619	"ENSRNOT00000088629.1"	"+"	3.69634602030294e-55	3.28900567197156e-58
"25551"	236	-20838	"ENSRNOT00000015976.6"	"-"	5.62883199620847e-55	5.02984301018146e-58
"213"	237	-101231	"ENSRNOT00000078632.1"	"-"	7.39017190951541e-55	6.63173292427789e-58
"2392"	238	-7024	"ENSRNOT00000090714.1"	"-"	1.77612065658852e-54	1.60056591115412e-57
"2218"	239	-36019	"ENSRNOT00000033450.3"	"+"	2.76442064815233e-54	2.50164781920154e-57
"3431"	240	-147834	"ENSRNOT00000088559.1"	"-"	3.29439487289669e-54	2.99371901522562e-57
"2150"	241	21537	"ENSRNOT00000003348.4"	"-"	3.61290372361384e-54	3.29683773217066e-57
"41"	242	-7743	"ENSRNOT00000013366.7"	"-"	5.76669289994196e-54	5.28404285037309e-57
"467"	243	-49564	"ENSRNOT00000091632.1"	"+"	7.58732920902051e-54	6.98102740009348e-57
"191.1"	244	-11157	"ENSRNOT00000081797.1"	"+"	7.75182433238145e-54	7.16172910309606e-57
"169.1"	245	35278	"ENSRNOT00000057945.4"	"+"	6.88217452967019e-53	6.38433852531957e-56
"253"	246	-4789	"ENSRNOT00000016626.5"	"-"	9.26562660037566e-53	8.63046195189811e-56
"21571"	247	172071	"ENSRNOT00000079354.1"	"+"	1.0542725286805e-52	9.85993346291837e-56
"13371"	248	-24045	"ENSRNOT00000084521.1"	"-"	2.02128080164652e-52	1.89802737820204e-55
"66"	249	-19176	"ENSRNOT00000064721.2"	"-"	4.64821380864758e-52	4.3823754741808e-55
"3.2"	250	-233937	"ENSRNOT00000066534.2"	"-"	8.86209238289566e-52	8.38881124384394e-55
"2261"	251	54007	"ENSRNOT00000018918.7"	"+"	1.05953510948452e-51	1.00696230802935e-54
"757"	252	-16126	"ENSRNOT00000085863.1"	"+"	3.45130757713039e-51	3.29312598995176e-54
"26231"	253	178466	"ENSRNOT00000003511.6"	"+"	4.91961962160265e-51	4.71276936838416e-54
"12291"	254	-3708	"ENSRNOT00000025293.6"	"-"	5.30675862373235e-51	5.10372413189979e-54
"1983"	255	-55851	"ENSRNOT00000028181.5"	"+"	1.17993272809103e-50	1.13925664040735e-53
"1875"	256	2749	"ENSRNOT00000047482.5"	"+"	8.22912016704231e-50	7.9765944191107e-53
"3451"	257	6846	"ENSRNOT00000063366.2"	"+"	1.07500338032862e-49	1.04608528730727e-52
"501.1"	258	-75590	"ENSRNOT00000086166.1"	"+"	1.13474672721414e-49	1.10851809200984e-52
"127"	259	-11593	"ENSRNOT00000002809.4"	"+"	3.20964985234821e-49	3.14761467706488e-52
"359.1"	260	324474	"ENSRNOT00000013271.6"	"-"	4.79033923556359e-49	4.71589099967292e-52
"746"	261	-88204	"ENSRNOT00000085925.1"	"-"	5.08799327251787e-49	5.02818417089857e-52
"1787.1"	262	6984	"ENSRNOT00000019266.2"	"-"	8.13122518460434e-49	8.06643095134497e-52
"2092"	263	-16119	"ENSRNOT00000036766.5"	"-"	8.13293290167758e-49	8.09891943081534e-52
"458"	264	-2597	"ENSRNOT00000079898.1"	"-"	9.70764599134754e-49	9.70380360293744e-52
"66.1"	265	-34309	"ENSRNOT00000064721.2"	"-"	4.56200146347232e-48	4.57746924414558e-51
"890"	266	106475	"ENSRNOT00000054699.2"	"+"	6.1198364046023e-48	6.16375815525132e-51
